Ref,Value,Footprint,,Ref,Value,Footprint
C1+C2,100nF,0402,,C1+C2,100nF,0402
C3,47µF,0805,,C3,47µF,0805
D0-D77,LED,0603,,D0-D77,LED,0603
D88,Diode,0805,,D88,Diode,0805
J1,,1x5 Stiftleiste,,J1,,1x5 Stiftleiste
J2,,2x3 Stiftleiste,,J2,,2x3 Stiftleiste
J3,,USB_B_Mini,,J3,,USB_B_Mini
Q1-Q8,AO3400A,SOT-23,,Q1-Q8,AO3400A,SOT-23
R1-R8,86R6,0402,,R1-R8,86R6,0402
R9,1k,0402,,R9,1k,0402
R10,10k,0402,,R10,10k,0402
U1,ATmega328P-AU,TQFP,,U1,ATmega328P-AU,TQFP
,,,,,,
Ref,Value,Footprint,,Ref,Value,Footprint
C1+C2,100nF,0402,,C1+C2,100nF,0402
C3,47µF,0805,,C3,47µF,0805
D0-D77,LED,0603,,D0-D77,LED,0603
D88,Diode,0805,,D88,Diode,0805
J1,,1x5 Stiftleiste,,J1,,1x5 Stiftleiste
J2,,2x3 Stiftleiste,,J2,,2x3 Stiftleiste
J3,,USB_B_Mini,,J3,,USB_B_Mini
Q1-Q8,AO3400A,SOT-23,,Q1-Q8,AO3400A,SOT-23
R1-R8,86R6,0402,,R1-R8,86R6,0402
R9,1k,0402,,R9,1k,0402
R10,10k,0402,,R10,10k,0402
U1,ATmega328P-AU,TQFP,,U1,ATmega328P-AU,TQFP
,,,,,,
Ref,Value,Footprint,,Ref,Value,Footprint
C1+C2,100nF,0402,,C1+C2,100nF,0402
C3,47µF,0805,,C3,47µF,0805
D0-D77,LED,0603,,D0-D77,LED,0603
D88,Diode,0805,,D88,Diode,0805
J1,,1x5 Stiftleiste,,J1,,1x5 Stiftleiste
J2,,2x3 Stiftleiste,,J2,,2x3 Stiftleiste
J3,,USB_B_Mini,,J3,,USB_B_Mini
Q1-Q8,AO3400A,SOT-23,,Q1-Q8,AO3400A,SOT-23
R1-R8,86R6,0402,,R1-R8,86R6,0402
R9,1k,0402,,R9,1k,0402
R10,10k,0402,,R10,10k,0402
U1,ATmega328P-AU,TQFP,,U1,ATmega328P-AU,TQFP
,,,,,,
Ref,Value,Footprint,,Ref,Value,Footprint
C1+C2,100nF,0402,,C1+C2,100nF,0402
C3,47µF,0805,,C3,47µF,0805
D0-D77,LED,0603,,D0-D77,LED,0603
D88,Diode,0805,,D88,Diode,0805
J1,,1x5 Stiftleiste,,J1,,1x5 Stiftleiste
J2,,2x3 Stiftleiste,,J2,,2x3 Stiftleiste
J3,,USB_B_Mini,,J3,,USB_B_Mini
Q1-Q8,AO3400A,SOT-23,,Q1-Q8,AO3400A,SOT-23
R1-R8,86R6,0402,,R1-R8,86R6,0402
R9,1k,0402,,R9,1k,0402
R10,10k,0402,,R10,10k,0402
U1,ATmega328P-AU,TQFP,,U1,ATmega328P-AU,TQFP
